时间,策略权益,策略单位净值,基准单位净值
2025-01-24,743224.9384,0.743225,1.1170914985847582
2025-01-27,743224.9384,0.743225,1.112491383619044
2025-02-05,743224.9384,0.743225,1.1060808049313722
2025-02-06,743224.9384,0.743225,1.1199965935221137
2025-02-07,743224.9384,0.743225,1.1345316569428452
2025-02-10,743224.9384,0.743225,1.1369678948494188
2025-02-11,743224.9384,0.743225,1.1317431715026092
2025-02-12,743224.9384,0.743225,1.1424471422498008
2025-02-13,743224.9384,0.743225,1.1381564315383776
2025-02-14,743224.9384,0.743225,1.148027493960482
2025-02-17,738702.6407,0.738703,1.150472708554162
2025-02-18,740054.6407,0.740055,1.1403840197599033
2025-02-19,746454.6407,0.746455,1.148363157939068
2025-02-20,739654.6407,0.739655,1.1450801677906033
2025-02-21,745338.6407,0.745339,1.1595210051418057
2025-02-24,741682.6407,0.741683,1.1569774841662752
2025-02-25,731654.6407,0.731655,1.1441342931043976
2025-02-26,734058.6407,0.734059,1.1541283769429829
2025-02-27,744278.6407,0.744279,1.15651087130727
2025-02-28,750370.6407,0.750371,1.1337581171620297
2025-03-03,744862.6407,0.744863,1.1332991111709947
2025-03-04,738098.6407,0.738099,1.1323510214581003
2025-03-05,736602.6407,0.736603,1.137407635937281
2025-03-06,752446.6407,0.752447,1.153048726302821
2025-03-07,758454.6407,0.758455,1.1494864387759773
2025-03-10,759214.6407,0.759215,1.145052742262788
2025-03-11,769526.6407,0.769527,1.1487290745190062
2025-03-12,767086.6407,0.767087,1.144595076945801
2025-03-13,765162.6407,0.765163,1.1400332294806412
2025-03-14,801258.6407,0.801259,1.16771447629818
2025-03-17,805198.6407,0.805199,1.1648672635056079
2025-03-18,799654.6407,0.799655,1.168054366314527
2025-03-19,804338.6407,0.804339,1.1687669928614062
2025-03-20,791654.6407,0.791655,1.1585148584135996
2025-03-21,779554.6407,0.779555,1.140941477858229
2025-03-24,783254.6407,0.783255,1.1468150874444447
2025-03-25,780254.6407,0.780255,1.146070867622165
2025-03-26,780454.6407,0.780455,1.1422999304102734
2025-03-27,785654.6407,0.785655,1.1461048507947822
2025-03-28,784138.6407,0.784139,1.1410786346423938
2025-03-31,774454.6407,0.774455,1.1329586382528873
2025-04-01,772462.6407,0.772463,1.133068952410997
2025-04-02,769662.6407,0.769663,1.132107659973235
2025-04-03,760647.8363,0.760648,1.1254385643549336
2025-04-07,760647.8363,0.760648,1.0461456218583962
